Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Shielding,Poise,Inure,Steadfast,Ethereal,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Damage %,Attack Speed,Attack Speed %,Magic Damage,Magic Damage %,Proj Damage,Proj Speed,Knockback Res.,Thorns,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect,Ice Aspect,Thunder Aspect,Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Flame,Frost,Spark,Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistent,Ashes of Eternity,Tier,Location,Health,Speed,Attack Damage,Attack Speed,Magic Damage,Tier,Location
Oasis Scimitar,Isles,Rare,Sword,Iron Sword,Isles Overworld,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,8.5,1.6,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,11,21
Phantom Flintlock,Isles,Rare,Crossbow,Crossbow,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,11,21
Robe's of the Pharaoh,Isles,Rare,Chestplate,Leather Chestplate,Isles Overworld,,6.5,,,,,,,,,,,,,,4,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,15%,,,,11,21
Sand of Ishnir,Isles,Rare,Leggings,Leather Leggings,Isles Overworld,,5,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,11,21
Sandblaster,Isles,Rare,Offhand Sword,Golden Sword,Isles Overworld,4,,,,,,,,,,,,,,,,,,,,,,,,12%,,,1,25%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,12%,32%,,,11,21
Waverider's Cap,Isles,Rare,Helmet,Leather Helmet,Isles Overworld,,8,,,,,,,,,,,1,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,5%,,,,11,21
Wrath of the Mountains,Isles,Rare,Axe,Iron Axe,Isles Overworld,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.9,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,11,21
Arcane Fish,Isles,Uncommon,Wand,Tropical Fish,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Arcane Pickaxe,Isles,Uncommon,Wand,Stone Pickaxe,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,7,1.2,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Arcane Shears,Isles,Uncommon,Wand,Shears,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,3,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Arcane Torch,Isles,Uncommon,Wand,Torch,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Blessed Vestment,Isles,Uncommon,Chestplate,Leather Chestplate,Isles Overworld,2,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,35,,,,,7,21
Crusader's Phalanx,Isles,Uncommon,Offhand Shield,Shield,Isles Overworld,,2.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Crystal Pickaxe,Isles,Uncommon,Pickaxe,Iron Pickaxe,Isles Overworld,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Diver's Boon,Isles,Uncommon,Mainhand,Compass,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,21,,10%,,,,7,21
Enlightened Dagger,Isles,Uncommon,Offhand Sword,Iron Sword,Isles Overworld,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Entropic Blunderbuss,Isles,Uncommon,Crossbow,Crossbow,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Flame's Kiss,Isles,Uncommon,Wand,Orange Tulip,Isles Overworld,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Frigid Firangi,Isles,Uncommon,Offhand Sword,Golden Sword,Isles Overworld,5,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,20%,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,15%,,20%,,7,21
Frosted Compass,Isles,Uncommon,Mainhand,Compass,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,-10%,,,,7,21
Frozen Longbow,Isles,Uncommon,Bow,Bow,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,1,,,,,,,,,,,,,,,,,,,,4,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Gargantuan Harpoon,Isles,Uncommon,Trident,Trident,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.7,0.8,1,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Hammer of the Architect,Isles,Uncommon,Axe,Iron Axe,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.9,,,,,1,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Lumie,Isles,Uncommon,Offhand Sword,Golden Sword,Isles Overworld,3.5,,,,,,,,,,,,,,,,,4,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,20,15%,,,,7,21
Magic Crab,Isles,Uncommon,Offhand,Red Dye,Isles Overworld,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,10,,,,,7,21
Magma Galoshes,Isles,Uncommon,Boots,Leather Boots,Isles Overworld,4,,,,,,,,,,,,,,,5,,,,,,,,,10%,,,,10%,,15%,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,10%,10%,15%,,7,21
Moon Mirror Shield,Isles,Uncommon,Wand,Shield,Isles Overworld,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,4.5,4,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Moon's Chime,Isles,Uncommon,Offhand,Iron Nugget,Isles Overworld,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Oasis Armband,Isles,Uncommon,Offhand,Light Blue Dye,Isles Overworld,1.5,1.5,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,31.25,,,,,7,21
Obsidian Skin,Isles,Uncommon,Helmet,Leather Helmet,Isles Overworld,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Riptide Missile,Isles,Uncommon,Throwable,Snowball,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Scorian Ingot,Isles,Uncommon,Offhand,Nether Brick,Isles Overworld,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Siege Axe,Isles,Uncommon,Axe,Iron Axe,Isles Overworld,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Siege Shield,Isles,Uncommon,Mainhand,Shield,Isles Overworld,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,5%,,,,7,21
Siren's Serenade,Isles,Uncommon,Helmet,Golden Helmet,Isles Overworld,2.5,2.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Soul Spear,Isles,Uncommon,Trident,Trident,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.1,20,0.8,0.9,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Swordfish,Isles,Uncommon,Sword,Iron Sword,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.6,,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Terracotta Warpick,Isles,Uncommon,Pickaxe,Golden Pickaxe,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.2,,,,10,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Torrid Talwar,Isles,Uncommon,Offhand Sword,Golden Sword,Isles Overworld,,5,,,,,,,,,,,,,,,,,,,,,,,15%,,,,20%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,15%,20%,,,7,21
Tsunami Bracer,Isles,Uncommon,Offhand,Blue Dye,Isles Overworld,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,-20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Twilight Razor,Isles,Uncommon,Scythe,Golden Hoe,Isles Overworld,,,,,,,,,,,,3,,,,,,,,,,,,,13%,,,,,,,,,,,,,,9,1.3,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,13%,,,,7,21
Waveborn Bow,Isles,Uncommon,Bow,Bow,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,1,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Webripper,Isles,Uncommon,Sword,Iron Sword,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.6,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
Wolf Fur Coat,Isles,Uncommon,Chestplate,Leather Chestplate,Isles Overworld,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,-10%,,7,21
Z.A.P.,Isles,Uncommon,Crossbow,Crossbow,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,,2,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,7,21
ZA WARUDO,Isles,Uncommon,Mainhand,Clock,Isles Overworld,,,,,,,,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,-100%,,,,7,21
Chillwind Overcoat,Isles,Artifact,Chestplate,Leather Chestplate,Celsian Isles,,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,20,,,,,12,20
Crystallizer (u),Isles,Artifact,Misc,Emerald,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Ishnir's Moon,Isles,Artifact,Offhand Sword,Wooden Sword,Celsian Isles,,4.5,,,,,,,,,,,,,,,,,,,,,,,,4,1,1.5,15%,,15%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,25%,15%,,12,20
Steel Aparatus,Isles,Artifact,Helmet,Turtle Helmet,Celsian Isles,6,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,10%,,,,10%,10%,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,10%,,10%,12,20
Tesseract of Balance (u),Isles,Artifact,Misc,Pink Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of Knowledge (u),Isles,Artifact,Misc,Lime Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of Light (u),Isles,Artifact,Misc,Light Gray Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of Magic (u),Isles,Artifact,Misc,Light Blue Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of Pestilence (u),Isles,Artifact,Misc,Magneta Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of the Body (u),Isles,Artifact,Misc,Orange Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of the Mind (u),Isles,Artifact,Misc,Cyan Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
Tesseract of the Soul (u),Isles,Artifact,Misc,White Stained Glass,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12,20
3-D Glasses,Isles,Patron,Helmet,Leather Helmet,Celsian Isles,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,20
Angely Sugar,Isles,Patron,Offhand,Sugar,Celsian Isles,,3.5,,,,,,,,,,,,,,,,3,,2,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,15,10%,,,,10,20
Aramil's Shield Wall,Isles,Patron,Mainhand,Shield,Celsian Isles,,3,,,,,,,,,,,,,,,,,10%,,,,,,,,,,10%,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,12.5,,10%,,,10,20
Ash Codex,Isles,Patron,Offhand,Book,Celsian Isles,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,10,,20,,,,,10,20
Baxeico,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,3,,,,,,,,,,,,,,,,,,,4,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,20
Betrayer of the Blackflame,Isles,Patron,Wand,Iron Sword,Celsian Isles,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,16,1.3,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,10,,,,,,,10,20
Black Sun Brew,Isles,Patron,Consumable,Potion,Celsian Isles,3,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10%,,,,10,20
Bloom,Isles,Patron,Offhand Sword,Iron Sword,Celsian Isles,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,-0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,20,,13%,-23%,,10,20
Bramble Blaster,Isles,Patron,Crossbow,Crossbow,Celsian Isles,2,,,,,,,,,,,,,,,,,,,2,,,,,16%,,,,,,,1,10%,,,,,,,,14,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,16%,,,18%,10,20
Carcano 91/38,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.5,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,20
Chains of Ice and Ivy,Isles,Patron,Leggings,Chainmail Leggings,Celsian Isles,6,,,1,,,,,,,,,,1,,,,,-20%,,,,,,,,,,5%,,,,10%,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-25,,5%,,10%,10,20
Cobaltean Charm,Isles,Patron,Offhand,Compass,Celsian Isles,,4,,,,,,,,,,,,,,,,4,,1,,,,,18%,,,-10,,,-25%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,20,18%,-67%,-25%,,10,20
Curse of Alutana,Isles,Patron,Chestplate,Chainmail Chestplate,Celsian Isles,2.5,,1,,,,,,,,,2,,,2,2,2,-2,-10%,,,,,,,,,,25%,0.1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-22.5,,25%,8%,,10,20
Dreambreaker,Isles,Patron,Pickaxe,Golden Pickaxe,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,20
Eclipse Splitter,Isles,Patron,Sword,Iron Sword,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0.4,,,,4,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,10,20
Enbee,Isles,Patron,Helmet,Player Head,Celsian Isles,,5,,,,,,,,,,,,,,,,,,,,1,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10,,,5%,,,,10,20
Failnaught,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,-80%,,,,,,,,,,,6,,,,,8,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,-80%,,,,10,20
Frigid Rupture,Isles,Patron,Crossbow,Crossbow,Celsian Isles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.2,,3,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10,20
Frodian Doors (mainhand),Isles,Patron,Mainhand,Shield,Celsian Isles,,,,,,,,,,,,,,,,,,,,2,,,,,-100%,,,,,,,,,,,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,-100%,,,,10,20
Frodian Doors (offhand),Isles,Patron,Offhand Shield,Shield,Celsian Isles,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,25,,,,,10,20
